identifier_adminDB,title,name_author 1,name1_URI,name_author 2,name2_URI,name_author 3,name3_URI,name_author 4,name4_URI,name_author 5,name5_URI,dateIssued,extent,identifier_isbn,identifier_issn,publisher,notes,abstract,language,typeofResource,form,URI_form,subject_geographic,URI_geo,subject_topic_LCSH,URI_topic,subject_topic_LCSH2,URI_topic2,subject_topic_LCSH3,URI_topic3,subject_topic_LCSH4,URI_topic4,subject_topic_NAF,URI_NAF_topic,record_source,project_title,repository,repository_URI,rights,rights URI
0116_000050_000357,Child Poverty Data from 1990 Census,Children's Defense Fund (U.S.),http://id.loc.gov/authorities/names/n80083301,,,,,,,,,1992,48,,,Children's Defense Fund (U.S.),,"This report analyzes figures made public by the US Census Bureau. The Census Bureau's definition of ""poverty"" and the definition of ""children"" are given in the report. Data is presented by state for 1979 and 1989 including percentage change in rank. City poverty data for African American and Latino youth is also included in the report as well as the top 20 cities with the highest child poverty rates in 1989.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Poor children,http://id.loc.gov/authorities/subjects/sh85104852,African American youth,http://id.loc.gov/authorities/subjects/sh85001931,Hispanic American youth,http://id.loc.gov/authorities/subjects/sh85061050,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000358,Protecting Our Children: State and Federal Policies for Exempt Child Care Settings,"Blank, Helen",http://id.loc.gov/authorities/names/n86833543,,,,,,,,,1994,85,,,Children's Defense Fund (U.S.),,This report is one in a series of studies by CDF examining state policies in child care and early childhood education. It focuses on state policies for ensuring the health and safety of children enrolled in informal or exempt child care settings who receive federal child care funds.,eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Family day care,http://id.loc.gov/authorities/subjects/sh85047038,Child care,http://id.loc.gov/authorities/subjects/sh85023354,,,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000359,Promoting Access to Quality Child Care: Critical Steps in Conducting Market Rate Surveys and Establishing Rate Policies,"Stoney, Louise",http://id.loc.gov/authorities/names/n89647308,,,,,,,,,1994,94,,,Children's Defense Fund (U.S.),,"This report is one in a series of studies by CDF examining state policies and practices in child care and early childhood education. It focuses on conducting child care market rate surveys and establishing reimbursement policies that can support quality child care. The ""Market Rates"" concept is explained as well as the ""Market Driven"" approach to the purchase of publicly funded child care services as included in federal initiatives.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Child welfare,http://id.loc.gov/authorities/subjects/sh85023396 ,Child care,http://id.loc.gov/authorities/subjects/sh85023354,,,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000360,The Health of America's Children: Maternal and Child Health Data Book,"Hughes, Dana",http://id.loc.gov/authorities/names/n86121010,"Johnson, Kay",http://id.loc.gov/authorities/names/n84018571,"Rosenbaum, Sara",http://id.loc.gov/authorities/names/n86084486,"Butler, Elizabeth",http://id.loc.gov/authorities/names/n97097347,"Simons, Janet",http://id.loc.gov/authorities/names/n89656041,1988,265,ISBN 938008692,,Children's Defense Fund (U.S.),Adolescent Pregnancy Prevention Prenatal Care Program and CDF,"This report traces prenatal care utilization and other key maternal and child health indicators over time and assesses the nation's failure to ensure adequate care to its most vulnerable citizens. The book examines national, state, and large city infant mortality rates; compares U.S. infant mortality rates with those of other coutries; and assesses American children's and pregnant women's access to health care, patterns of childbearing among teenagers and unmarried women, private insurance coverage for children and pregnant women, and the surgeon general's 1990 Objectives on seven key health indicators.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Child health services,http://id.loc.gov/authorities/subjects/sh85023366,Maternal health services,http://id.loc.gov/authorities/subjects/sh85082102,Maternal and infant welfare ,http://id.loc.gov/authorities/subjects/sh85082098,Infants--Mortality,http://id.loc.gov/authorities/subjects/sh85066037,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000361,The Health of America's Southern Children: Maternal and Child Health Data Book - Special Edition,"Whitfill, Aileen",,"Liu, Joseph",http://id.loc.gov/authorities/names/n92806096,"Johnson, Kay",http://id.loc.gov/authorities/names/n84018571,,,,,1989,123,ISBN 938008722,,,,"This report documents the progress made and the progress urgently needed now to improve maternal and child health care in the southern states, to save southern infants' and children's lives and health, and to save taxpayer dollars through preventive health care and improved family support. The report brings together a great wealth of information about maternal and child health programs, as well as key health status and health care utilization stats. Key facts on such topics as infant mortality, low birthweight, prenatal care, and childhood mortality are covered, and the presentation of state-by-state fact sheets help provide a summary of health and program statistics.",eng,text,reports,http://vocab.getty.edu/aat/300027267,Southern States,http://id.loc.gov/vocabulary/geographicAreas/n-usu,Child health services,http://id.loc.gov/authorities/subjects/sh85023366,Maternal health services,http://id.loc.gov/authorities/subjects/sh85082102,,,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000362,"Managed Care and Children's Health: An Analysis of Early and Periodic Screening, Diagnosis, and Treatment Services under State Medicaid Managed Care Contracts","Rivera, Lourdes",," Regan, Carol",," Rosenbaum, Sara",,,,,,1995,,,,Children's Defense Fund (U.S.),"Collaboration between National Health Law Program, George Washington Univ., and Center for Health Policy Research","This report examines the intent to which state Medicaid agencies incorporate the various requirements of the EPSDT (Early and Periodic Screening, Diagnosis, and Treatment) Program into contracts with managed care plans. These contracts are the principle document signifying the plans' service obligations. Because EPSDT encompasses such a broad range of services, this report helps make clear which coverage, service, or administrative requirements remain the responsibility of the state agency and out-of-plan providers and which become the duty of managed care plans.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Managed care plans (Medical care),http://id.loc.gov/authorities/subjects/sh87004126,Medicaid,http://id.loc.gov/authorities/subjects/sh85082855,Child health services,http://id.loc.gov/authorities/subjects/sh85023366,,,"Early and Periodic Screening, Diagnosis, and Treatment Program (U.S.)",http://id.loc.gov/authorities/names/n86014229,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000363,Child Care Tradeoffs: States Make Painful Choices,"Ebb, Nancy",http://id.loc.gov/authorities/names/no99034746,,,,,,,,,1994,40,,,,,This report contains data that was collected from comprehensive surveys of all 50 states and DC both in 1991 and in the spring/summer of 1993 to collect key data on the states' AFDC (Aid to Families and Dependent Children) child care policies and programs.,eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Welfare reform,http://id.loc.gov/authorities/names/no2003112232,Child care,http://id.loc.gov/authorities/subjects/sh85023354,Aid to families with dependent children programs,http://id.loc.gov/authorities/subjects/sh89003862,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000364,Summary of the New Welfare Legislation (Public Law 104-193),,,,,,,,,,,1996,27,,,Children's Defense Fund (U.S.),,"This report is a summary of the New Welfare Legislation {P.L. 104-193, the Personal Responsibility and Work Opportunity Reconciliation Act of 1996}, which was passed by Congress and signed into law by President Bill Clinton on Aug. 22, 1996. This new law slashed help for children and families in a broad range of safety net programs. Cuts in federal funds for these programs totaled $54 billion over six years. The New Federal Welfare Law limited welfare to a maximum of five years, restricted food stamp distribution, cut assistance to as many as 300,000 children with disabilities, made it possible to track parents who owed child support payments, and outlined what health benefits children and families could receive.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Public welfare,http://id.loc.gov/authorities/subjects/sh85108846,Child welfare,http://id.loc.gov/authorities/subjects/sh85023396 ,,,,,United States. Personal Responsibility and Work Opportunity Reconciliation Act of 1996,http://id.loc.gov/authorities/names/no96053228,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000365,The Nation's Investment in Children: An Analysis of the President's FY 1992 Budget Proposals,Children's Defense Fund (U.S.),http://id.loc.gov/authorities/names/n80083301,,,,,,,,,1991,72,,,,,"This report contains detailed information about the Bush Administration's FY 1992 Budget that affected 12.6 million poor children in our country. Infant mortality rates, homeless children and families, the foster care system, and failing schools are some of the areas covered in the report. Charts and graphs are used throughout the report to highlight the inadequate budget allocations that resulted in little to no improvement to the condition of poor children and families in the US.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Child welfare,http://id.loc.gov/authorities/subjects/sh85023396 ,Federal aid to child welfare,http://id.loc.gov/authorities/subjects/sh85047559,Poor children,http://id.loc.gov/authorities/subjects/sh85104852,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000366,What You Need to Know and Do to Truly Leave No Child Behind,Children's Defense Fund (U.S.). Action Council,http://id.loc.gov/authorities/names/no2004061976,,,,,,,,,2003,49,,,,,"This action guide describes how the Bush budget brings good news to the rich, bad news to the poor, defies the prophets and the gospels, and mocks American values of fair play and opportunity. It analyzes the Bush administration's budget war on children and steps you can take to protect and invest rather than hurt children. Part I outlines our investment choices as a nation. Part II outlines the key provisions of the comprehensive Dodd-Miller Act to Leave No Child Behind (which the CDF Action Council supports), important victories to date, and how it differs from the Bush administration's No Child Left Behind Act. Part III describes the gap between the Bush administration's compassionate words and uncompassionate deeds for children. Part IV provides state-by-state tables on child poverty, child health coverage, and state spending per public school pupil and per priosoner. The Appendix lists a few resources to help you and key action dates.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Child welfare,http://id.loc.gov/authorities/subjects/sh85023396 ,"Education, Elementary",http://id.loc.gov/authorities/subjects/sh85041059,,,,,Project Head Start (U.S.),http://id.loc.gov/authorities/names/n79059917,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000367,A Call for Action to Make Our Nation Safe for Children: A Briefing Book on the Status of American Children in 1988,Children's Defense Fund (U.S.),http://id.loc.gov/authorities/names/n80083301,,,,,,,,,1988,41,,,Children's Defense Fund (U.S.),,"This briefing book is designed for all those in public life, child advocates, community activists, professionals, policy makers, parents, citizens, members of the media, and political leaders of all parties seeking office in 1988 and their staffs. Its purpose is to ensure basic social literacy among the media, citizens, and candidates for public office about the facts and needed remedies for American children and families and about the high economic and social costs of child neglect to every American. Part 1 lays out key facts in important areas affecting children and families, the gap in current successful programs for children and families, and the cost-effectiveness of preventive investment. Part 2 includes key charts on the status of families and children with state-by-state date. Part 3 shows how America compares to other nations in protecting its children. The appendix outlines the history of important federal investments in children and youths and summarizes the polls that indicate that helping children in 1988 is not only a moral and practical imperative but is also good politics.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Child welfare,http://id.loc.gov/authorities/subjects/sh85023396 ,Federal aid to child welfare,http://id.loc.gov/authorities/subjects/sh85047559,,,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000368,Your Family's Rights under the New Fair Housing Law,Children's Defense Fund (U.S.),http://id.loc.gov/authorities/names/n80083301,,,,,,,,,1989,26,ISBN 938008749,,Children's Defense Fund (U.S.),,"This booklet introduces the reader to the Fair Housing Amendment Act of 1988, passed by Congress making it unlawful to discriminate against families with children and people with disabilities. The law was a strong response to reports across the country that families with children are very often victims of housing discfrimination. The booklet introduces the reader to the new law and helps the reader determine if he or she has been unfairly denied housing because of their children.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Discrimination in housing,http://id.loc.gov/authorities/subjects/sh85038391,Housing,http://id.loc.gov/authorities/subjects/sh85062603,,,,,United States. Fair Housing Amendments Act of 1988,http://id.loc.gov/authorities/names/n88050733,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000369,A Nation and Century Defining Time: Where Is America Going? How You Can Make a Difference: An Action Guide,Children's Defense Fund (U.S.). Action Council,http://id.loc.gov/authorities/names/no2004061976,,,,,,,,,2004,70,,,,,"This guide seeks to inform the public about the needs of children and families and how the budget and tax choices and policies in our nation affect them. Included are personal stories of millions of children and families and the choices we have as a people to build a more just nation and world. The CDF Action Council's longer term policy vision incorporated in the comprehensive Dodd-Miller Act to Leave No Child Behindis shared. State-buy-state tables on child poverty, child health coverge, state spending per public school pupil and per prisoner are also included.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Family policy,http://id.loc.gov/authorities/subjects/sh85047060,Child welfare,http://id.loc.gov/authorities/subjects/sh85023396 ,Budget,http://id.loc.gov/authorities/subjects/sh85017602,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000370,Mounting a Prenatal Care Campaign in Your Community,"Hughes, Dana",http://id.loc.gov/authorities/names/n86121010,,,,,,,,,1986,37,ISBN 938008560,,Children's Defense Fund (U.S.),,"This report analyzes the prenatal care services needs in communities and compares those needs with services available. The report emphasies the importance of prenatal health care for mothers and care for newborn babies and how good quality care helps prevent teen pregnancies, decreases low birthweight and the infant mortality rate, and assists in providing a strong basis for families.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Prenatal care,http://id.loc.gov/authorities/subjects/sh85106374,Maternal and infant welfare ,http://id.loc.gov/authorities/subjects/sh85082098,,,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000371,The West: Child Care Challenges,"Adams, Gina",," Schulman, Karen",,,,,,,,1998,80,,,Children's Defense Fund (U.S.),,"This report is a regional compilation of several state reports, each of which examines the range of child care challenges facing families in that state. State reports include Alaska, Arizona, California, Colorado, Hawaii, Idaho, Montana, Nevada, New Mexico, Oregon, Utah, Washington, and Wyoming.",eng,text,reports,http://vocab.getty.edu/aat/300027267,West (U.S.),http://id.loc.gov/authorities/subjects/sh85146140,Child care,http://id.loc.gov/authorities/subjects/sh85023354,Federal aid to child welfare,http://id.loc.gov/authorities/subjects/sh85047559,Child care services,http://id.loc.gov/authorities/subjects/sh85023355,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000372,New Partnerships: Education's Stake in the Family Support Act of 1988,,,,,,,,,,,1988,31,,,,"A Statement of: American Public Welfare Association, Center for Law and Social Policy, Center for Study of Social Policy, CDF, Council of Chief State School Officers, Institute for Educational Leadership, National Alliance of Business, National Assoc. of State Boards of Educ., and National Governors' Association","This document highlights the aspects of the Family Support Act (FSA) that are relevantr to both the education and the public welfare communities, describes the opportunities that FSA oiffers for both systems to meet their own and shared goals for populations at risk, and emphasizes the importance and benefits of collaborative among education and the human services in implementing FSA.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Welfare recipients,http://id.loc.gov/authorities/subjects/sh85146031,Child care services,http://id.loc.gov/authorities/subjects/sh85023355,,,,,United States. Family Support Act of 1988,http://id.loc.gov/authorities/names/n87851140,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000373,What It Takes: Structuring Interagency Partnerships to Connect Children and Families with Comprehensive Services,"Melaville, Atelia",," Blank, Martin",,,,,,,,1991,53,,,,"A Joint Publication of the Education and Human Services Consortium: Amer. Public Welfare Assoc., Center for Law and Social Policy, Center for the Study of Social Policy, Child Welfare League of America, CDF, Council of Chief State School Officers, Council of Great City Schools, Educ. Commission of the States, Institute for Educational Leadership, Joining Forces, National Alliance of Business, National Assoc. of Counties, National Assembly of National Voluntary Health and Social Welfare Organizations, National Assoc. of Secondary School Principals, National Assoc. of State Boards of Educ., National Governors' Assoc., National League of Cities, National School Boards Assoc., National Youth Employment Coalition, U.S. Conference of Mayors, Wider Opportunities for Women, and the William T. Grant Foundation Commission on Work, Family, and Citizenship","This is the second in a series of publications published by the Education and Human Services Consortium, a loose-knit coalition of national organizations concerned with the interagency efforts to connect children and families with comprehensive services. The first publication,New Partnerships: Education's Stake in the Family Support Act of 1988, was aimed at state and local education and human services policy makers, administrators, and practitioners and explored the potential for collaboration among education and welkfare agencies in the implementation of the new law. This monoigraph looks at why local schools, health and welfare agencies, youth services agencies, community-based organizations, and others must join forces on behalf of children and families, and offers guidance based on emerging experience about how they can move forward together. A third publication in this series isThinking Collaboratively: Questiona and Answers to Help Policy Makers Improve Services for Children,published in 1991.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Child welfare,http://id.loc.gov/authorities/subjects/sh85023396 ,Family services,http://id.loc.gov/authorities/subjects/sh88003551,,,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000374,"State Developments in Child Care, Early Education, and School-Age Care 2002","Ewen, Danielle",," Hart, Ketherine",,,,,,,,2002,151,,,Children's Defense Fund (U.S.),,"This report provides highlights and updates regarding state actions on child care, early education, and school-age care issues during 2002. It includes a state-by-state snapshot of comparable state policies.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Child care services,http://id.loc.gov/authorities/subjects/sh85023355,Federal aid to day care centers,http://id.loc.gov/authorities/subjects/sh85047564,,,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000375,A Parent's Guide to Child Support,"Ebb, Nancy",http://id.loc.gov/authorities/names/no99034746,,,,,,,,,1999,40,,,Children's Defense Fund (U.S.),,"A guide to assist parents in obtaining child support payments, resolving paternity issues, and enforcing child support obligations",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Child support,http://id.loc.gov/authorities/subjects/sh85023394,Child welfare,http://id.loc.gov/authorities/subjects/sh85023396,,,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000376,Stand up for Children Now!,Children's Defense Fund (U.S.). Action Council,http://id.loc.gov/authorities/names/no2004061976,,,,,,,,,2005,44,,,,,A guide aimed at addressing the poverty surrounding children in the United States,eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Poor children,http://id.loc.gov/authorities/subjects/sh85104852,Child welfare,http://id.loc.gov/authorities/subjects/sh85023396,,,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000377,Unshared Sacrifice: The House of Representatives' Shameful Assault on America's Children,Children's Defense Fund (U.S.),http://id.loc.gov/authorities/names/n80083301,,,,,,,,,1995,42,,,Children's Defense Fund (U.S.),,"This report details the cuts made by the House of Representatives in 1994 that conbtributed to major decrease in services to poor children and families. $30 billion were stripped from crucial child survival programs like SSI (Supplemental Security Income), AFDC (Aid to Families with Dependent Children), Foster Care and Adoption Assistance, the School Lunch Program, Child Care, Services to Disabled, Abused, and Neglected Children, and Child and Adult Food Program.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Child welfare,http://id.loc.gov/authorities/subjects/sh85023396,Federal aid to child welfare,http://id.loc.gov/authorities/subjects/sh85047559,,,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000378,Summary of Legislation Affecting Children in 1996,Children's Defense Fund (U.S.),http://id.loc.gov/authorities/names/n80083301,,,,,,,,,1996,27,,,,,"This memo provides a summary of what Congress did in 1996 that mostly directly affected children. Examples of legislation passed by the 104th Congress are a $54 billion cut in the safety net programs that benefitted the poorest children and families, proposals to wipe out Medicaid, food stamps, school and summer meals, and cuts to the Child and Adult Care Food Program, Foster Care, Adoption Assistance.",eng,text,memorandums,http://vocab.getty.edu/aat/300026906,United States,http://id.loc.gov/authorities/names/n78095330,Child welfare,http://id.loc.gov/authorities/subjects/sh85023396,Poor children,http://id.loc.gov/authorities/subjects/sh85104852,,,,,Child & Adult Care Food Program (U.S.),http://id.loc.gov/authorities/names/no97021869,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000379,The Welfare Reform Debate: Implications for Child Care,"Blank, Helen",http://id.loc.gov/authorities/names/n86833543,,,,,,,,,1996,47,,,Children's Defense Fund (U.S.),,"This paper is intended to help child care advocates think about the many difficult and painful issues that could be raised if a state proposes to revamp its current child care system. The document should be viewed as a work in progress because of the uncertainty about the outcome of federal proposals. The paper reemphasizes CDF's stance on opposing any legislation that would significantly increase the need for child care assistance for welfare families without providing sufficient funding to meet the demand, that would jeopardize child care assistance for poor working families, or that would jeopardize the quality of child care.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Child welfare,http://id.loc.gov/authorities/subjects/sh85023396,Child care services,http://id.loc.gov/authorities/subjects/sh85023355,Welfare recipients,http://id.loc.gov/authorities/subjects/sh85146031,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000380,Windows of Opportunity: Ohio's Children and the 1998 Election,Children's Defense Fund--Ohio,http://id.loc.gov/authorities/names/n84039009,,,,,,,,,1998,34,ISBN 1881985202,,,,This report suggests nearly two dozen steps the next governor of Ohio and the legislature can take for children. Nearly all of the measures use existing funding or tax cuts in recognition of the need to finance increases in school funding.,eng,text,reports,http://vocab.getty.edu/aat/300027267,Ohio,http://id.loc.gov/authorities/names/n79049197,Child welfare,http://id.loc.gov/authorities/subjects/sh85023396,Federal aid to education,http://id.loc.gov/authorities/subjects/sh85047566,,,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000381,The Midwest: Child Care Challenges,"Adams, Gina",," Schulman, Karen",,,,,,,,1998,85,,,Children's Defense Fund (U.S.),,"This report is a regional compilation of several state reports, each of which examines the range of child care challenges facing families in the state. States included are Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, and Wisconsin.",eng,text,reports,http://vocab.getty.edu/aat/300027267,Middle West,http://id.loc.gov/vocabulary/geographicAreas/n-usc,Child welfare,http://id.loc.gov/authorities/subjects/sh85023396,Child care services,http://id.loc.gov/authorities/subjects/sh85023355,,,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000382,The Northeast: Child Care Challenges,"Adams, Gina",," Schulman, Karen",,,,,,,,1998,80,,,,,"This report is a regional compilation of several state reports, each of which examines the range of child care challenges facing families in that state. States included are Connecticut, Maine, massachusetts, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, and Vermont.",eng,text,reports,http://vocab.getty.edu/aat/300027267,Northeastern States,http://id.loc.gov/vocabulary/geographicAreas/n-use,Child care services,http://id.loc.gov/authorities/subjects/sh85023355,Federal aid to child welfare,http://id.loc.gov/authorities/subjects/sh85047559,Federal aid to day care centers,http://id.loc.gov/authorities/subjects/sh85047564,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
